d03,v05,d08,d9,d10,d11,d12,d13,d14,d16,D16_1,Q15_new,Q16_new,np
Gaza strip,City,Female,45,yes,BA\ BSc,trader,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,40,yes,Secondary,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,21,yes,Secondary,Student,Unemployed,Single,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,50,yes,Secondary,Employee,Public sector,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,Old
Gaza strip,City,Male,69,yes,Secondary,retired,Unemployed,Married,5,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,City,Male,36,no,BA\ BSc,Employee,Public sector,Married,5,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,68,no,Associatte Diploma,retired,Unemployed,Married,2,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,Hamas,Old
Gaza strip,camp,Male,39,yes,Associatte Diploma,unemployed,Public sector,Married,5,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,39,yes,Secondary,Housewife,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,City,Female,29, ,Secondary,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,39,no,BA\ BSc,Employee,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,32,yes,Preparatory,Housewife,Unemployed,Married,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,New
West Bank,City,Female,27,no,Secondary,unemployed,Unemployed,Single,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
West Bank,City,Female,40,no,Secondary,Housewife,Unemployed,Married,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
West Bank,City,Male,24,no,Secondary,Worker,Private and NGos,Married,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
West Bank,City,Female,40,no,Preparatory,unemployed,Unemployed,Single,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,Old
West Bank,City,Male,21,no,Secondary,Student,Unemployed,Single,5,The family income covers our needs well and we can save,I did not participate in the elections,Hamas,New
West Bank,City,Male,26,yes,BA\ BSc,trader,Private and NGos,Other,1,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,camp,Male,36,yes,Secondary,trader,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
West Bank,City,Male,42,no,BA\ BSc,Employee,Public sector,Married,7,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,City,Male,38,no,Secondary,Worker,Private and NGos,Married,7,The family income covers the expenses of our needs without facing any difficulties,Fateh,Hamas,Old
West Bank,City,Male,29,no,BA\ BSc,trader,Private and NGos,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
West Bank,City,Male,40,no,Associatte Diploma,"Professional, craftsman, specialist",Private and NGos,Married,6,The family income covers the expenses of our needs without facing any difficulties,Hamas,I will not participate in the elections,Old
West Bank,City,Male,50,no,Secondary,Worker,Private and NGos,Married,6,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
West Bank,City,Male,18,yes,Secondary,Worker,Private and NGos,Single,11,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
West Bank,City,Male,29,no,Secondary,Worker,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Male,41,no,Preparatory,trader,Private and NGos,Married,9,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,Old
West Bank,City,Female,61,no,Preparatory,Housewife,Unemployed,Other,2,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,Hamas,Old
West Bank,City,Female,23,no,BA\ BSc,Housewife,Unemployed,Married,3,The family income covers our needs well and we can save,I did not participate in the elections,Hamas,New
West Bank,village,Female,36,no,Secondary,Housewife,Unemployed,Married,8,Family income does not cover our expenses we face some difficulties in covering,Fateh,Hamas,Old
West Bank,City,Female,19,no,Secondary,Student,Unemployed,Single,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
West Bank,City,Male,34,no,BA\ BSc,Worker,Private and NGos,Married,7,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
West Bank,City,Female,38,no,BA\ BSc,Employee,Public sector,Single,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
West Bank,City,Female,59,no,Preparatory,Housewife,Unemployed,Married,4,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
West Bank,City,Female,72,no,Illiterate,Housewife,Unemployed,Married,2,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
West Bank,City,Male,73,no,Elementary,trader,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,Old
West Bank,City,Female,40,no,Preparatory,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
West Bank,City,Female,21,no,Illiterate,Student,Unemployed,Single,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
West Bank,City,Male,24,yes,BA\ BSc,Student,Unemployed,Single,7,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,25,no,Associatte Diploma,Housewife,Unemployed,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,40,no,BA\ BSc,unemployed,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,47,no,Secondary,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,camp,Male,46,yes,Preparatory,"Professional, craftsman, specialist",Private and NGos,Married,8,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,57,no,Preparatory,Housewife,Unemployed,Married,6,Family income does not cover the expenses of our needs and we face great difficulties in covering,Others,Hamas,Old
Gaza strip,City,Male,19,yes,BA\ BSc,Employee,Public sector,Single,9,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,22,yes,Secondary,Student,Unemployed,Single,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,34,yes,Secondary,unemployed,Unemployed,Married,6,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,Old
Gaza strip,City,Male,26,yes,Preparatory,"Professional, craftsman, specialist",Private and NGos,Married,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,32,yes,BA\ BSc,Employee,Private and NGos,Married,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,30,yes,Associatte Diploma,Housewife,Unemployed,Married,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,camp,Male,29,yes,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Single,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,67,yes,Illiterate,Housewife,Unemployed,Other,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,34,yes,BA\ BSc,Housewife,Unemployed,Married,3,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
Gaza strip,City,Female,40,yes,Associatte Diploma,Housewife,Unemployed,Single,7,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,City,Male,71,no,Illiterate,Worker,Private and NGos,Married,2,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,62,yes,Elementary,unemployed,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,camp,Female,51,yes,Preparatory,Housewife,Private and NGos,Married,9,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,36,yes,BA\ BSc,Housewife,Unemployed,Married,8,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,49,yes,Associatte Diploma,Employee,Public sector,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,34,yes,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,camp,Male,53,yes,Secondary,Worker,Private and NGos,Married,13,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,26,yes,Associatte Diploma,Employee,Private and NGos,Single,9,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,New
Gaza strip,City,Male,29,no,Master Degree and Above,Employee,Private and NGos,Married,6,The family income covers our needs well and we can save,I did not participate in the elections,Fateh,New
Gaza strip,City,Female,33,no,Master Degree and Above,Employee,Private and NGos,Married,5,The family income covers our needs well and we can save,Others,Fateh,Old
Gaza strip,camp,Female,40,yes,BA\ BSc,Housewife,Unemployed,Married,7,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,Old
Gaza strip,City,Male,22,no,Secondary,Student,Unemployed,Single,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,29,no,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Single,8,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,23,yes,Associatte Diploma,Student,Unemployed,Single,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,40,yes,Associatte Diploma,Housewife,Unemployed,Married,11,Family income does not cover our expenses we face some difficulties in covering,Others,Hamas,Old
Gaza strip,City,Female,68,no,Secondary,Housewife,Unemployed,Married,3,Family income does not cover our expenses we face some difficulties in covering,Fateh,Hamas,Old
Gaza strip,camp,Male,19,yes,Secondary,Student,Unemployed,Single,6,The family income covers our needs well and we can save,I did not participate in the elections,Others,New
Gaza strip,City,Female,42,yes,BA\ BSc,Employee,Public sector,Married,8,Family income does not cover our expenses we face some difficulties in covering,Hamas,I will not participate in the elections,Old
Gaza strip,City,Female,41, ,BA\ BSc,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,I will not participate in the elections,Old
Gaza strip,City,Male,41,no,Secondary,Worker,Unemployed,Married,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,not decided,Old
Gaza strip,camp,Female,19,yes,Preparatory,"Professional, craftsman, specialist",Private and NGos,Single,11,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
Gaza strip,City,Male,28,yes,BA\ BSc,unemployed,Unemployed,Single,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,New
Gaza strip,City,Male,28,yes,BA\ BSc,unemployed,Unemployed,Single,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,New
Gaza strip,City,Female,32,yes,Secondary,Housewife,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,34,yes,BA\ BSc,Housewife,Unemployed,Married,5,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,Hamas,Old
Gaza strip,City,Female,25,no,BA\ BSc,unemployed,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,47,yes,Secondary,Housewife,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,City,Female,31,no,Associatte Diploma,unemployed,Unemployed,Married,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,49,yes,Preparatory,"Professional, craftsman, specialist",Private and NGos,Married,8,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,61,yes,Elementary,Worker,Private and NGos,Married,8,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,City,Male,34,yes,Associatte Diploma,Employee,Public sector,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,23,no,Secondary,Student,Unemployed,Single,11,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,58,yes,Preparatory,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,73,yes,Illiterate,Housewife,Unemployed,Married,9,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
Gaza strip,camp,Female,36,no,Secondary,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,46,yes,BA\ BSc,Employee,Public sector,Married,5,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,56,yes,BA\ BSc,Employee,Public sector,Married,8,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,53,yes,Associatte Diploma,trader,Private and NGos,Married,8,Family income does not cover our expenses we face some difficulties in covering,Fateh,Hamas,Old
Gaza strip,City,Female,46,yes,Secondary,Housewife,Unemployed,Married,10,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,24,no,BA\ BSc,unemployed,Unemployed,Single,9,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,21,yes,Preparatory,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,61,no,Preparatory,unemployed,Unemployed,Married,6,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,30,yes,BA\ BSc,Employee,Public sector,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,19,yes,Secondary,Housewife,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,51,yes,BA\ BSc,Employee,Public sector,Married,8,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,20,yes,Secondary,Student,Unemployed,Single,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,26,yes,BA\ BSc,Worker,Private and NGos,Single,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,35,yes,Associatte Diploma,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,41,yes,BA\ BSc,Housewife,Unemployed,Other,4,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,31,yes,Associatte Diploma,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,25,no,Associatte Diploma,Employee,Public sector,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,34,no,BA\ BSc,Employee,Public sector,Married,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,43,yes,Elementary,Farmer,Private and NGos,Married,9,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,49,yes,BA\ BSc,Employee,Public sector,Married,9,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,Hamas,Old
Gaza strip,City,Male,35,yes,BA\ BSc,unemployed,Unemployed,Married,9,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,City,Male,60,yes,Preparatory,Worker,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Fateh,Hamas,Old
Gaza strip,City,Female,43,yes,Associatte Diploma,Employee,Public sector,Married,11,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,56,yes,Associatte Diploma,Worker,Private and NGos,Married,9,Family income does not cover our expenses we face some difficulties in covering,Fateh,Hamas,Old
Gaza strip,City,Male,29,yes,Associatte Diploma,Worker,Private and NGos,Married,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,24,yes,Secondary,Housewife,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,45,yes,Secondary,Employee,Public sector,Married,5,The family income covers the expenses of our needs without facing any difficulties,Others,Hamas,Old
Gaza strip,City,Female,44,yes,Associatte Diploma,Worker,Public sector,Other,4,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,58,yes,Secondary,Housewife,Unemployed,Married,8,Family income does not cover our expenses we face some difficulties in covering,Others,Hamas,Old
Gaza strip,City,Male,27,yes,Secondary,Worker,Private and NGos,Single,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,50,yes,BA\ BSc,Employee,Public sector,Married,8,Family income does not cover our expenses we face some difficulties in covering,Others,Hamas,Old
Gaza strip,City,Female,36,yes,BA\ BSc,Worker,Private and NGos,Married,2,The family income covers our needs well and we can save,Fateh,Hamas,Old
Gaza strip,City,Male,28,yes,Associatte Diploma,unemployed,Unemployed,Single,7,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,48,yes,BA\ BSc,Employee,Public sector,Married,8,The family income covers the expenses of our needs without facing any difficulties,Others,Hamas,Old
Gaza strip,City,Female,45,yes,BA\ BSc,Worker,Public sector,Married,3,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,23,no,BA\ BSc,unemployed,Unemployed,Single,10,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,40,no,Secondary,Employee,Public sector,Married,3,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,Hamas,Old
Gaza strip,City,Female,24,no,Preparatory,Housewife,Unemployed,Married,3,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,48,no,Preparatory,Housewife,Public sector,Married,9,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,39,yes,Secondary,Worker,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,53,yes,BA\ BSc,Employee,Public sector,Married,7,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,camp,Male,48,yes,BA\ BSc,Employee,Public sector,Married,10,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,camp,Male,55,yes,Secondary,Employee,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,camp,Female,53,yes,Preparatory,Housewife,Unemployed,Married,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,Hamas,Old
Gaza strip,City,Female,40,no,BA\ BSc,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,Old
Gaza strip,City,Female,50,yes,Secondary,Housewife,Unemployed,Married,8,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,25,no,BA\ BSc,unemployed,Unemployed,Single,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Male,50,no,Secondary,unemployed,Unemployed,Married,5,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,Hamas,Old
Gaza strip,City,Male,42,no,Associatte Diploma,Employee,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Fateh,Hamas,Old
Gaza strip,City,Female,39,yes,Secondary,Housewife,Unemployed,Married,7,The family income covers the expenses of our needs without facing any difficulties,Fateh,Hamas,Old
Gaza strip,City,Female,38,yes,BA\ BSc,Employee,Public sector,Married,8,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,City,Male,35,yes,Secondary,unemployed,Unemployed,Other,4,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Female,19,yes,Secondary,Student,Unemployed,Single,7, ,I did not participate in the elections,Hamas,New
Gaza strip,camp,Female,28,no,Master Degree and Above,Employee,Private and NGos,Single,6,The family income covers our needs well and we can save,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,48,yes,Associatte Diploma,Housewife,Unemployed,Married,8,Family income does not cover our expenses we face some difficulties in covering,Fateh,Hamas,Old
Gaza strip,City,Male,25,no,BA\ BSc,Employee,Public sector,Married,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,36,yes,BA\ BSc,Employee,Private and NGos,Married,9,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,Old
Gaza strip,camp,Male,26,yes,Preparatory,Worker,Private and NGos,Married,10,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,camp,Male,21,yes,Secondary,Student,Unemployed,Single,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,camp,Female,43,yes,BA\ BSc,Employee,Private and NGos,Single,8,Family income does not cover the expenses of our needs and we face great difficulties in covering,Others,Hamas,Old
Gaza strip,camp,Male,33,yes,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,Old
Gaza strip,City,Male,47,yes,Secondary, ,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,City,Male,28,yes,Secondary,Worker,Private and NGos,Married,12,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,37,yes,BA\ BSc,Employee,Private and NGos,Married,8,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
Gaza strip,City,Male,26,yes,BA\ BSc,trader,Private and NGos,Married,3,The family income covers our needs well and we can save,I did not participate in the elections,Others,New
Gaza strip,City,Female,52,yes,Secondary,Housewife,Unemployed,Married,8,The family income covers the expenses of our needs without facing any difficulties,Hamas,Others,Old
Gaza strip,City,Male,32,yes,BA\ BSc,Employee,Public sector,Married,9,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Others,New
West Bank,City,Female,55,no,Elementary,Housewife,Unemployed,Other,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,51,no,Elementary,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,40,yes,Preparatory,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,28,no,Secondary,Worker,Public sector,Married,11,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,33,yes,Secondary,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,Old
West Bank,City,Female,63,no,Elementary,Housewife,Unemployed,Other,4,The family income covers our needs well and we can save,Fateh,Fateh,Old
West Bank,City,Male,20,no,Secondary,Student,Unemployed,Single,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,New
West Bank,village,Male,54,yes,Elementary,Farmer,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,Hamas,Old
West Bank,City,Female,20,no,Secondary,Student,Unemployed,Single,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
West Bank,village,Female,37,no,Preparatory,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
West Bank,village,Female,35,yes,Preparatory,Housewife,Unemployed,Married,6,The family income covers our needs well and we can save,Hamas,Hamas,Old
West Bank,village,Male,21,no,Secondary,Worker,Private and NGos,Single,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
West Bank,City,Male,48,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
West Bank,village,Male,22,no,BA\ BSc,trader,Private and NGos,Single,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
West Bank,City,Female,52,no,Secondary,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
West Bank,City,Female,56,no,Secondary,Housewife,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,Hamas,Others,Old
West Bank,City,Female,42,no,BA\ BSc,Employee,Unemployed,Single,2,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,camp,Male,40,yes,Elementary,trader,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,Fateh,I will not participate in the elections,Old
West Bank,City,Male,51,no,Elementary,trader,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Hamas,not decided,Old
West Bank,village,Female,30,yes,Preparatory,Housewife,Unemployed,Married,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,New
West Bank,City,Female,65,yes,Preparatory,"Professional, craftsman, specialist",Private and NGos,Married,2,The family income covers our needs well and we can save,I did not participate in the elections,Hamas,Old
West Bank,village,Female,51,no,Secondary,Housewife,Unemployed,Other,4,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
West Bank,City,Male,50,no,BA\ BSc,Worker,Private and NGos,Married,3,The family income covers our needs well and we can save,Hamas,Hamas,Old
West Bank,City,Male,28,no,BA\ BSc,Employee,Private and NGos,Married,2,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Hamas,New
West Bank,camp,Female,50,yes,Secondary,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
West Bank,village,Male,33,no,Associatte Diploma,"Professional, craftsman, specialist",Private and NGos,Married,8,The family income covers the expenses of our needs without facing any difficulties,Hamas,Hamas,Old
West Bank,City,Female,21,no,Secondary,Student,Unemployed,Single,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Hamas,New
